year,country,iso,trade,exports,imports,ggfce,gfcf,industry,manufact,unempl,agriculture,rgdp_growth,infl_cpi,oil,gold,copper,sp500
2002,Austria,AUT,86.9481679996606,45.31938619858,41.6287818010806,18.8386965201083,23.5305701513863,27.3880784820285,17.7267828085994,4.84999990463257,1.56277441149196,1.6515539218668218,1.8103578776412776,32.93713439,409.5668123,2060.543905,1881.87
2003,Austria,AUT,86.3873824162825,44.57041471914,41.8169676971425,18.979639912386,24.1081156475266,27.498379858473,17.4531746104997,4.78000020980835,1.49193189790189,0.9414709207251404,1.3555537089643854,36.29696071,456.5667373,2234.602113,1441.11
2004,Austria,AUT,90.7923456929297,46.8672149740213,43.9251307189084,18.8913590714454,23.5915083524841,27.3737678166123,17.3364603484259,5.82999992370605,1.47647439267771,2.7351202224103144,2.061206180328723,44.37860746,481.2777578,3370.595366,1787.42
2005,Austria,AUT,94.0338056833054,48.6197522046932,45.4140534786122,19.3462734216739,23.0521157470689,27.0742425967636,17.4078184700008,5.63000011444092,1.25939963482441,2.244065324638944,2.299137856392819,60.87616006,507.2071291,4194.635171,1810.81
2006,Austria,AUT,98.0883112053436,50.8416688618235,47.2466423435202,19.2582902718553,22.6007558309184,27.2593708304078,17.8234362098009,5.23999977111816,1.30318945861739,3.4540418361411973,1.441548511190227,71.49005651,672.0356633,7475.171698,1884.86
2007,Austria,AUT,100.733254061926,52.560869422371,48.172384639555,18.7447920696102,22.9170276835207,27.5726388212438,18.1536476227364,4.8600001335144,1.41639156023265,3.7274153009350774,2.1685552880074788,74.52244763,730.0873252,7459.129515,2056.54
2008,Austria,AUT,102.073682731706,53.2488606164087,48.8248221152974,19.2721309580265,23.276465624832,26.9602141407645,17.4174657293044,4.13000011444092,1.34222302680426,1.4604236757385092,3.215950332398898,94.31758367,847.6846772,6764.189183,1909.26
2009,Austria,AUT,87.0622309742796,45.2074165608437,41.8548144134358,20.6842134754264,22.4130082617233,25.7928458296062,16.3619956421939,5.30000019073486,1.14681776764538,-3.7645781779166665,0.5063088276964889,64.02194964,1008.650896,5338.612943,1198.27
2010,Austria,AUT,99.0197962369563,51.2621603273359,47.7576359096203,20.4925476679965,21.5967237748965,25.5349942466396,16.4785007359327,4.82000017166138,1.26732767225745,1.8370936768004054,1.8135343899506218,79.04077178,1224.66425,7534.779583,1515.63
2011,Austria,AUT,105.102788629725,53.9486708516394,51.154117778086,19.89656808887,22.4717154486786,25.4474320432043,16.595609061091,4.55999994277954,1.40191493427276,2.9227972836859406,3.2865791487540097,93.70575127,1413.757637,7953.6269,1702.39
2012,Austria,AUT,105.152177427838,53.9736761965302,51.1785012313079,19.8606923693557,22.649292785658,25.6339685320435,16.7061233748154,4.86999988555908,1.3485513899381,0.6804455768166351,2.4856756217702447,95.31152279,1515.330288,7226.988911,1677.16
2013,Austria,AUT,104.066414086373,53.4412932967224,50.625120789651,19.9159427520344,23.0401975609289,25.5249417894219,16.4957293719062,5.34000015258789,1.25472121594195,0.025504712197310653,2.000156169005596,94.87940373,1286.720999,6684.108843,1879.08
2014,Austria,AUT,103.503535251069,53.3865790462424,50.1169562048263,19.8028420386289,22.6605524717731,25.3646396008814,16.5600152509678,5.61999988555908,1.20074056404147,0.6612728488524899,1.605811829544912,88.92742601,1169.476277,6342.227603,2277.18
2015,Austria,AUT,102.42731538918,53.0890605587958,49.3382548303838,19.7616905815254,22.6967074577069,25.174913250307,16.6900364578037,5.71999979019165,1.1297901935645,1.0145015859052364,0.8965633352599589,51.86371799,1186.069383,5631.076427,2536.63
2016,Austria,AUT,100.982078278741,52.4063936498056,48.5756846289351,19.6511011570073,23.0962874287331,25.476804975952,17.047414633819,6.01000022888184,1.11031647926172,1.9894371623045082,0.8915917526552741,45.52832222,1328.235473,5176.761037,2367.08
2017,Austria,AUT,104.938844932748,54.0511531414978,50.8876917912507,19.4892640109278,23.6285407586874,25.4118677707583,16.8427076676864,5.5,1.21053643138638,2.2585724325067558,2.0812691138561323,54.25841395,1292.172443,6339.762495,2738.47
2018,Austria,AUT,107.88167678734,55.440654375526,52.4410224118143,19.3318630043618,24.0864274262147,25.3661221623617,16.8284845817184,4.84999990463257,1.13015550798024,2.5015951187207897,1.9983798142954035,67.15239138,1247.033262,6415.619786,3289.86
2019,Austria,AUT,107.47822730482,55.4422065446306,52.0360207601889,19.4676857084452,24.9597138286934,25.0971690527944,16.5435327871752,4.48999977111816,1.07158272416678,1.4912108495370502,1.5308956415265307,61.72971534,1399.805003,6041.681228,3027.78
