país Code,"tiempo Code","NY.GDP.MKTP.KD","NE.TRD.GNFS.ZS","NE.EXP.GNFS.ZS","NE.GDI.FTOT.ZS","NE.CON.GOVT.ZS","NE.IMP.GNFS.ZS","NV.IND.TOTL.ZS","NV.IND.MANF.ZS","FR.INR.RINR","FP.CPI.TOTL","FM.LBL.BMNY.GD.ZS","FM.LBL.BMNY.ZG","SL.UEM.TOTL.NE.ZS","SL.UEM.TOTL.ZS","SL.EMP.TOTL.SP.NE.ZS","SL.EMP.TOTL.SP.ZS"
SWE,"YR1975","222853488541.426","51.3307148636818","25.6499674967873","26.4710625403748","22.4522196496348","25.6807473668946","","","","20.0666867786879","49.7985295932654","11.6529205592255","1.62000000476837","","",""
SWE,"YR1976","225211512171.391","51.7585624836263","25.1900384657509","26.8029696773903","23.4619960370788","26.5685240178754","","","","22.1233665870451","46.251242202203","5.04653266038451","1.61000001430511","","",""
SWE,"YR1977","221616554115.969","51.2801904487063","24.9578402384561","26.7156285810707","25.9277316440598","26.3223502102502","","","","24.6546790755082","46.388380270889","9.08772787362387","","","",""
SWE,"YR1978","225498274547.564","50.3582988846878","25.7194024656119","24.6080375559082","26.3397620293646","24.6388964190759","","","","27.1189796868586","48.8510022373068","17.3853713180071","","","",""
SWE,"YR1979","234157416129.864","56.1535931992075","27.7004655306659","25.1041556942791","26.6827175995025","28.4531276685416","","","","29.0742001338965","51.0429819766732","17.1177111031105","","","",""
SWE,"YR1980","238138025327.291","55.8791694431012","27.1579699552114","25.5871501461985","27.2098361501988","28.7211994878899","29.7349212672185","20.8687147721543","","33.0592037292646","50.4089391368425","12.2043540418219","","","",""
SWE,"YR1981","239221149500.055","55.7421403434609","27.8320404254129","24.0714037605788","27.5174942477528","27.9100999180481","28.5224728861921","19.8491975511173","","37.0606694272482","52.2700712950431","13.2960779523885","","","",""
SWE,"YR1982","242208219499.103","60.6567026041255","30.1098496228452","23.9004008047277","27.3623947584434","30.5468529812804","28.2147294157989","19.8183457899005","","40.2438789201222","51.5945223667452","8.01986976856459","3.14000010490417","","",""
SWE,"YR1983","246811722726.639","64.2911713854694","33.0537439712241","24.2688227356171","26.7438374586723","31.2374274142453","28.4915872668355","20.2205054845711","","43.8147269586491","49.3703344839535","7.21379213619352","3.48000001907349","","",""
SWE,"YR1984","257250711527.949","64.1665399938727","33.6805458168701","24.6689655936897","25.840204570609","30.4859941770026","29.6335117637082","21.146456819889","","47.3392897976951","47.7398317133679","8.48335127846594","3.0699999332428","","",""
SWE,"YR1985","262808288360.312","63.9888176636352","32.6565044433589","25.8778408053822","25.5326430161057","31.3323132202763","29.6635216165295","21.2211552451674","","50.8294142442701","45.3637432988151","3.29290633768523","2.82999992370605","","",""
SWE,"YR1986","269881308726.533","58.2310859708523","30.4719724472161","24.7345034087147","25.2306657739887","27.7591135236362","29.2791186488873","20.9486260028566","","52.9825025415534","47.216088324633","13.6425476505848","2.23000001907349","","",""
SWE,"YR1987","278932704065.054","58.6768608989121","30.0855474651656","25.7573550739366","24.4997828943301","28.5913134337465","28.9531697185206","20.7494229751692","","55.2017125523808","46.226397826517","5.96446449808178","2.15000009536743","","",""
SWE,"YR1988","286070699812.652","58.3467817203103","29.8093789884526","26.8871729195283","23.8478686868836","28.5374027318578","28.7380085669503","20.4535441955633","","58.4171563806076","45.5005375790821","7.58216968996439","","","",""
SWE,"YR1989","293665324567.97","59.0380328648836","29.582311977181","29.4153019396332","24.1166845396254","29.4557208877026","28.4664089470829","19.8528384136055","","62.1811349241115","45.5707852247884","10.9609052784806","1.46000003814697","","",""
SWE,"YR1990","295881542676.808","55.8232212291502","27.9221777772976","29.0550613859746","25.1621820401025","27.9010434518526","27.1365635595473","18.3794566415082","","68.6271754732524","41.6352205530231","0.774311233135148","1.83000004291534","","73.0500030517578",""
